TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Nagarabhavi 12th Block (towards AMBEDKAR COLLEGE),Divanara palya (towards JALAHALLI), 8:00 AM,"Request for a Volvo Bus in the route of 401K at least in the morning and evening peak hours. Even though there is red board bus in this route, it is too overcrowded in the peak hours and there will be no place to stand. Kindly introduce Volvo bus in this route only in the peak hours and make our travel comfortable. Thank you.",,12-Nov-15
Increase Frequency,326C,Bengaluru,,,,After 8.30 P M there are less bus frequency in this route,,12-Jan-16
New Route,,Bengaluru,JP Nagara 15th Cross (towards Kadirenahalli Cross),TCI Tumkur Road (towards TOWARDS NELAMANGALA),,"Currently people in Puttenhalli, J P Nagar 1,2,3,4,5,6  phase, RBI lyt, brigade milleium etc have no way to reach banashankari 3rd stage or girinagar or nayandhalli or tumkur road. We have to travel through the city. Instead if a route is provided on the ORR starting from b'ghatta rd jedi mara-delmia-15th cross JPN-6th phase bus stop jpn-kadirenahalli-deve gowda bunk-kamakhya-pesit-nayandahalli-nagarbhavi-tumkur road
It would be easy for people to reach all these places without getting into the city, and will reduce traffic load on the centre. Also this route intersects two metro stations, one on k'pura rd and another on mys rd nayandahalli, so it will be very useful.
Please consider the same.",,13-Nov-15
New Route,,Bengaluru,Nisarga Gate (towards Anekal),Domlur (towards INDIRA NAGARA),,"Request you to provide Bus from Nisarga Layout to Electronic City via Koppa-Begur Main road, which will help 100's of citizens travelling to Electronic city and koramangala and will also reduce the traffic. Volvo/Regular Buses from Nisarga layout to Domlur via Begur Koppa main road- Electronic city Flyover-Domlur. Much appreciated if this route is sanction which will help lot of people to commute.",,16-Nov-15
New Route,,Bengaluru,Kengeri TTMC (towards TOWARDS SHIRKE),Chandapura (towards ELECTRONIC CITY),,We can introduce 378 extension from Kengeri to Electronic City or upto Chandapur circle via nice road during peak hours few trips .It will reduce commutation time so more utilization of Buses reduce maintenance cost .Incremental fare can be charged for Nice toll charges.The route can be existing 378 route up to Gottigere (Bannerghatta Road) Nice road to Hosur Road electronic city and Chandapur circle.,,15-Nov-15
Increase Frequency,no existing match,Bengaluru,,,,"please increse frequency during morning hours as many college students move from yelahanka nes office to rajanukunte 
and buses are always crowded
please increase frequency of buses between 7:30 to 8:15","?Á?????????: 285-?? ???? ???????? ??? ??????????? ????? ???????? ???????????, ????????? ????????????????? 19 ???????????? 99 ????? ???????????? ?????????????????????. ?????? ????? 5 ????? ????????? ?????? ???????????????. ???? ???????????:285-???? (????????????????? ????? ????????) 5 ?????????????????.
???????? ???????????:507-??(??????????? ???? ???????????????, ?????????, ??????????????, ??.?.??? ??????, ??????? ????? ????? ??????? ??.??? ??????) 8 ?????????? ??????????????????????. 
???????????:276-?? ????? 2 ?????????????? ????????? ??????????????????????. ?????? ??????? ?????? ??? ???? ???? ??????? ???? ??????????????????????.
",16-Nov-15
Increase Frequency,no existing match,Bengaluru,,,,"241S..., Increase this route buses..., only two buses currently ply..., if one is onward then otherone wil be returning.., kind request to increase the frequency...","241-??? ????? 2 ??????????????, ???? ?????????????? ????????? ?????? ?????????? ????????? ???????????????????, ????????????? ???????????? ?????????.",20-Nov-15
New Route,,Bengaluru,Kaggadasapura (towards C.V.RAMAN NAGARA),NGEF (towards Halasuru),,Since this is a peak time and it would take long time to reach halasuru since it would be coming via BEML and indiranagra or to reach main road / tin factory so it would be helpful if their is half an hour / hourly one bus atleast to reach the main road,?????? ?????? ?????? ???????? ???????? ????????????????.,16-Nov-15
Increase Frequency,301E,Bengaluru,,,,Please increase frequency of Route No: 301E as after 7.30 PM frequency in very poor. Commuters need to wait 30-45 minutes for the buses. Request to divert few buses (300E) via TC palya main road as lot of new residential layouts have been developed recently. As many people are dependent on share autos due to poor frequency in TC palya main road. Also request to introduce MINI buses(Single Door) buses from TC palya juction in Old madras road to B Channasandra Bridge Via TC palya main road.,????????????????,21-Nov-15
New Route,,Bengaluru,Wipro Park Koramangala (towards KORAMANGALA 1ST BLOCK),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"there is no BUS from maharaja signal,wipro park or jakksandra towards electronic city or silk board which is very important route for office goers please look into this matter.",,23-Nov-15
New Route,,Bengaluru,Jigani APC Cricle (towards ANEKAL),Muthsandra (towards JANTHAGONDANAHALLI),,"Please give a new bus service from Jigani APC to Muthsandra via - Chandapura, Dommasandra Circle, Ramanayakanahalli, Kathariguppe, Nerige.",,24-Nov-15
Other,,Bengaluru,,,,"Route 323D KR Market to Kuthaganahalli operating now please operate this bus up to Mattanahalli. So it is very usefull to RG nagar, Pandithana Agrahara and Mattanahalli.",,24-Nov-15
New Route,,Bengaluru,Parangipalya (towards NIFT College),Majestic (towards Malleshwaram),,As it is not showing route no 340A i selected request in new bus route. My request is to please increase frequency of Route No: 340A as after 5.30 PM frequency in very poor. Commuters need to wait 1hour for the buses. Request to add few buses (340A) As many people are dependent travel on autos due to poor frequency in Parangipalya to agara main road and from agara it is again big problem to get bus to majestic. Also request to introduce MINI buses(Single Door) buses from Parangipalya to agara main road.,,24-Nov-15
New Route,,Bengaluru,Kempegowda Bus Station (towards TOWARDS JANAPRIYA APARTMENT),Graphite India (towards GARUDACHAR PALYA),,Commuters are really in need of this route.,"??????????? 335-?, 335-? ?????? ????? 5 ????????? ??????? ?????? ????????????, ????? ?????? ?????????????.",29-Dec-15
New Route,,Bengaluru,Yelahanka (towards BAGALURU),ITPL (towards HOPE FARM),,"7.30AM , 9.30AM and return 5.30 PM and 7.30 PM ","???????? ????? ??????; 500-??(????? ????????? ??????? ????? ????? ????????? ????????) ????? 01 ??????? ?????, ????????? ? ?????? ??????????? ?????????????????? ???? ????? ??????? ??????????????? ????? ????? ????????????????.",13-Jan-16
Increase Frequency,356CA,Bengaluru,,,,Please increase the frequency of 356CW as the buses are jam packed and there is no place to even stand. the drivers and conductors push you to fill up any breathing spaces available.  Even ladies stand at the gates of the buses and it is very hazardous and life threatening experience to reach office from silk board.,,11-Jan-16
New Route,,Bengaluru,Jeevanahalli (towards JEEVANAHALLI LAST STOP),Kempegowda Bus Station (towards \N),,"Route No: 126
Respected Sir, Please restart Route No. 126 (Jeevanahalli to KBS) as there is no bus to KBS from past 7-8 years, commuters are forcing to catch two buses (via SBS) reach destination this is costing Money and time. 
Please re-start the bus in new route (towards Coxtown-Halasuru lake-Commercial street-Cubbon Road/park-GPO-Vidhanasoudha-KR Circle-Mysore Bank etc)",,19-May-16
New Route,,Bengaluru,Jeevanahalli (towards JEEVANAHALLI LAST STOP),BANASHANKARI TTMC (towards \N),,"Route No: 201MJ

Respected Sir please re-start route no 201MJ (Jeevanahalli to Banashankari TTMC) as we are facing shortage of buses towards Indiranagar-Koramangala-Madiwala-Jayanagar and Banashankari in the peak hours (Morning and Evening) and also please change the route from sony signal via Depot 15-Koramangala Police stn-jyothiniwas-st Johns etc this will help people who working at this areas.",,19-May-16
New Route,,Bengaluru,Vijayanagara (towards NAGARABHAVI),Rajarajeshwari Temple (towards B.E.M.L. 5TH STAGE),,"Sir, me and my friends have joined jain college  R R nagar, we do not have buses to R R nagar from mudalapalya, there are many buses to kengeri, can u please redirect few buses via  nagarbhavi circle, nayandahalli, RR nagar , kengeri
This will be very helpfull to us, instead of all buses going on one way, if diverted then it can be helpfull",,02-Jun-16
New Route,,Bengaluru,nagarbhavi,Malleshwaram 11th and 13th Cross (towards Malleshwaram 18th Cross),,"there are good colleges in malleswaram
but we do not have direct bus to malleswaram from nagarbhavi, we need to go to vijayanagar and then from there we need to take bus
now frequency of 75 is also less we need to wait tmore than half an hour for the bus to come
please giveus more buses from nagarbhavi to malleswaram as most of us are planning for college in that area",,02-Jun-16
New Route,,Bengaluru,Kengeri TTMC (towards TOWARDS SHIRKE),Jn of Nayandahalli (towards null),,"This is for the people staying around Kengeri Satellite Town/Church/Shirke area. Since the opening of Metro, many people from this area travel to nayandahalli to catch metro. 
Direct buses to nayandalli from Shirke are not frequent. Changing buses becomes expensive. 
Situation is worse on the way back from nayandahalli to Shirke. I usually wait more than 30-min to catch a direct bus. And these buses take a long route through Kengeri TTMC. Suggestion is to start a bus route (feeder) between Keneri TTMC AND Nayandalli VIA Kengeri Satellite Town, Shirke, Ambedkar College (towards nagarbhavi circle), Panacea hospital and then Nayandahalli.

",,03-Jun-16
New Route,,Bengaluru,Shivakote (towards SHIVAKOTE),Majestic (towards Malleshwaram),,Currently there is only one bus from majestic.The number of commuters in the area of shivakote and its surrounding have increased.The other buses here donot come ontime or come one behind the other. more than 1.5 hour there is no bus during 11.30-2.20 and during evening buses get too crowded. Most of the times beacuse of traffic jams and other reasons buses donot go till destination especially 266C. 272 (shivajinagr-mathkur) has been removed so there are no buses to shivajinagr also. Kindly look into these issues.,,08-Jun-16
New Route,,Bengaluru,Basavanagara Bus Stand (towards HAL),Agara (towards Hosapalya),,via Marathalli,,08-Jun-16
New Route,,Bengaluru,Yelenahalli (towards Last stop),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"There should be some bus between Akshayanagar and electronic city, EC is the closest tech park near to Akshayanagar...how people will commute between these to places.",,16-Jun-16
New Route,,Bengaluru,ITPL (towards I.T.P.L.),BTM Layout Bus Stop (towards CENTRAL SILK BOARD JUNCTION),,"There are series of 500 buses on this route but all  goes thru AECS layout only, none from Garudacharpalya or Hoodi. As all the current buses for this route usually turn from cloud nine hospital towards Graphite/AECS layout, people staying in Shantiniketan apt, apartment in hoodi and Garudacharpalya do not have option of bus, if they work on outer ring road. Imagine the number of cars that could be reduced if volvo is started on this route. It could start from ITPL - Hoodi - Phoenix Mall and may turn left from HP or KR Puram on outer ring road to Silk Board.",,14-Jun-16
Other,,Bengaluru,,,,Volvo Bus for route 328H.,,21-Jun-16
New Route,,Bengaluru,MG Road  (towards PERED GROUND),Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),,"Please add volvo services from Yelahanka to MG Road thro Hebbal Flyover,Mekhri Circle,Guttahalli,High Grounds,MG Road Metro Station and end at Mayo hall or Garuda Mall. Thousands of Office goers on this route using their own vehicles because of lack of buses on this route. Route G-9 may help the commuters if they avoid jayamahal,shivaji nagar which will take long tim.","????? ??????: ??-9 ? ????? ?????????????, ?????? ???? ?????? ?????? ???????????? ????????? ???????????? ??????? ?????????? ?????????? ???????????????.",12-Jan-16
New Route,,Bengaluru,BANASHANKARI TTMC (towards \N),Byana Palya (towards TOWARDS CORPORATION),,"Please run frequent buses from Purvankara apartment, KS School of Engineering, Holiday village road to Banashankari TTMC and Jayanagar 4th block",,19-May-16
New Route,,Bengaluru,Konanakunte Cross (towards Konanakunte),Meenakshi Temple (towards TOWARDS BRIGADE ROAD JUNCTION),,"There are no buses running between Konanakunte cross to Banneraghatta road.
A mini bus can be allotted to run frequently on this route.",,12-Jan-16
New Route,,Bengaluru,Jambu Savari Dinne (towards \N),ITPL (towards I.T.P.L.),,"I think there are no buses running between Jambu Savari Dinne to ITPL.
There are lot of working population residing around Jambu Savari Dinne, goes to work around ORR and ITPL.
Please start a bus on this route.
",,12-Jan-16
New Route,,Bengaluru,Frazer Town (towards LINGARAJAPURAM),SJR Park ITPL (towards MARATHAHALLI),,Please introduce a Volvo service to serve areas of Frazer Town/Cox Town/Cooke Town and connect the same to ITPL. ,,19-May-16
New Route,,Bengaluru,Gottigere (towards TOWARDS BRIGADE ROAD JUNCTION),ITPL (towards I.T.P.L.),,"Lot of IT professionals residing in this area, go to work around ORR/ITPL everyday.

It would be of great help to a frequently running bus service on this route.

Please consider this.",,12-Jan-16
New Route,,Bengaluru,LRDE (towards BEML),Sahakara Nagar Ganesh Temple (towards KODIGEHALLI GATE),,"from Bagmane Tech Park to sahakar nagar, jakku, Airport Vis Outer Ring Road",???? ?????????? ???? ????? ???????? ?????? ?????? ?????????? ?????????. ???????? ???? ?????????????????? ?????? ?????? ????? ????????????? ???????? ?????????.,12-Jan-16
New Route,,Bengaluru,Baiyappanahalli Satellite Bus Station (towards Last Stop),East railway station (towards ITC),,Metro Feeder to connect Baiyappanahalli or SV Road Station with East/Cantonment stations,,19-May-16
New Route,,Bengaluru,Horamavu Signal (towards HORAMAVU),Old Bayappanahalli (towards INDIRANAGARA),,Need a Metro Feeder bus from Horamavu to the metro station at Bayappanahalli. It can come via CMR college and drop the people near the railway station behind the metro station.,,19-May-16
Other,,Bengaluru,,,,"Need Two wheeler Parking facility in Kalyan Nager / Hennur Depot. 
I am daily communicating to various parts of city by Two Wheeler. If we have an Parking Facility, i can park my vehicle and take BMTC Buses on daily basis.
I stay inside the area of Hennur Bande and reaching Kamanahalli / Kalyan nager is not feasible without two wheeler. ",,19-May-16
Other,,Bengaluru,,,,Kadugodi to Byappanahalli Metro Station and back. This is to connect people in this region to the Metro Line.,,19-May-16
New Route,,Bengaluru,CRPF (towards DODDABALLAPURA),Dalmia JP Nagara (towards JP NAGARA 3RD PHASE),,There is no bus which directly connects these stops.,,19-May-16
New Route,,Bengaluru,KR Puram (towards TOWARDS HOSAKOTE),MICO Layout (towards CENTRAL SILK BOARD),,"We need direct buses from KR puram towards Central Silk Board via inner ring road (Dell, Sony World, Canara Bank Kormangala). This will help reduce traffic in this region to a great extent. Lot of people use two wheelers, Cars etc.. to commute and increases traffic. ",,19-May-16
Increase Frequency,360,Bengaluru,,,,Please increase the frequency of AC buses between electronic city to majestic.,,03-Jun-16
New Route,,Bengaluru,Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,"ther r no buses frm yelahanka 5th phase to shivajinagar via viiyaranyapura, devasandra, mekhri circle at all.276a cmes once in bluemoon and is not reliable. buses with frequency of 30min could be introduced for con vinience of people.its route could be via vidyaranyapura, devasanda, 80ft road ramaiah hospital, gangenahalli, mekhri circle.",????? ??????: 276-? ????? 04 ??????????????? 41 ????? ???????????? ??????????????????????. ????????????? ????????????????? ???? ???????????????,12-Jan-16
Increase Frequency,no existing match,Bengaluru,,,,Please increase freq of K-3 buses in the college/office hrs 7:30 to 8:30,,03-Jun-16
Increase Frequency,225C,Bengaluru,,,,"No busses for KBS between 9-30 & 10-30 from RR temple, please do increase the number of busses as that would be the office timings.",,03-Jun-16
New Route,,Bengaluru,Sadaramangala (towards AYYAPPA NAGARA),KR Puram (towards TOWARDS KBS),,"Right now , there are so many Auto plying in this road. Given a mini bus for this route, will help reduce public cost and overcome the autrocities of autowala",,10-Jun-16
New Route,,Bengaluru,Bellandur gate (towards MARATHAHALLI),Byappanahalli rly gate (towards \N),,There is no direct metro connectivity from Outer Ring Road. So please add a metro feeder service from either bellandur or Silk boad to Byappanahallu Metro Station. Most of the IT/other companies are in this route and people need to take metro to reach mysore road.,,09-Jun-16
Increase Frequency,600KB,Bengaluru,,,,please run this bus every 1 or 2 hours in both directions,,09-Jun-16
Other,,Bengaluru,,,,Very minimum V-500CA buses from ITPL to Banashankari from 6PM to 8PM. Drivers change the routes however they need. They run buses only till Marathalli/Agara/Silkboard.,,09-Jun-16
New Route,,Bengaluru,NRColony (towards THYAGARAJA NAGARA),Nayandahalli (towards TOWARDS SHIRKE),,Please add a metro feeder bus to nayandahalli from nr colony. It will help a lot ,,09-Jun-16
New Route,,Bengaluru,Chowdeshwari Bus Stand JP Park (towards MATHIKERE),Mount Carmel College (towards CONTONMENT RAILWAY STATION ROAD),,"We as students do not have many buses only 94D is on this route.We dont have any other buses as an option to go for if the previous bus gets missed.So,can you pleases look forward to put a bus on this route.",,10-Jun-16
Increase Frequency,369D,Bengaluru,,,,The area surrounding shanti nikethan layout is highly occupied and this is the only bus that provides connectivity to Majestic. Otherwise we had to walk all the way to Bannerghatta road to catch another bus. Kindly increase this bus frequency.,,10-Jun-16
New Route,,Bengaluru,Baiyappanahalli Satellite Bus Station (towards Last Stop),Manyatha Tech Park (towards HEBBALA),,"Baiyappanahalli Metro station. 
We need to get connectivity for Purple lane  towards Manyatha tech Park. Lots of people travel by Car daily. As there is not feeder service to Manyatha Tech park",,10-Jun-16
Other,,Bengaluru,,,,"356CW - Introduce Volvo - also Do NOT Waste time for filling passengers.
Every 5mins dep from SILK BOARD.",,13-Jun-16
Other,,Bengaluru,,,,"Increase the frequency of the bus route 356J and also request to add volvo bus in this route ie from yelahanka to electronic city via corp. 

",,13-Jan-16
Other,,Bengaluru,,,,"This is my second request to you.please maintain the bus timings, ie we follow the mybmtc app. From kbs to bda park avalahalli, around 12:30 pm onwards the buse don't run as per the timetable,the bus nos. being 10J, 36A, 36B .please see to 
it that the timetable is followed.After my first request i was very happy towards your services, but that was shortlived, again as usual we are stuck in majestic waiting for buses.please please look into the matter.
Thank you
",,13-Jan-16
New Route,,Bengaluru,Chikka Banawara Sante Beedi (towards HESARAGHATTA),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,I request BMTC to introduce on the above mentioned route(Via NICE road) as it will be helpful for those working near E-city and the alternate route which will reduce time,,16-Jan-16
New Route,,Bengaluru,Channasandra (towards DUNNASANDRA),AECS Layout (towards MARATHAHALLI),,There is transit from channasandra to hopefarm and hopefarm to aecs layout.should have a single way,,13-Jan-16
New Route,,Bengaluru,ITPL (towards I.T.P.L.),Kalyani Magnum JP Nagara (towards DALMIA),,Increase the frequency of the bus route V-500KM,???? ?????????? ???????? ???????????????? 3 ???????????? ???????? ???? ?????????? ??????????????? ???????????????. ???? ?????? ?????? ???????? ??.69.33/- ????????? ?????????????? ????????????? ???????????? ????????????????. ???? ???????? ??????????? ???????????? ?????? ????? ?????????? ?????? ????????? ???? ????????? ????????? ?????????????????????? ???????????????????.,14-Jan-16
Other,,Bengaluru,,,,"Please Requesting you kindly to increase the Frequncy of Buses between Hebbal and ITPL.
Especially Volvos. There are 500D every 2 mins but not for ITPL. If we can divert some of the volvos to ITPL I am sure many people will be thankful and less cars ",,14-Jan-16
New Route,,Bengaluru,Koramangala Police Station (towards NATIONAL GAMES VILLAGE),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"Please route G3 or plan G3A (Wipro gate to Brigade Rd) through Koramangala Police station and then G2 route. This will help people in Koramangala 5,6,7 & 8 blocks. 
Similarly, route G2A can be planned that will come to Koramangala via MGRoad-Adugodi. This n/w will  give more choices to commuters.",,16-Jan-16
New Route,,Bengaluru,BANASHANKARI TTMC (towards \N),Sarjapura Wipro (towards TOWARDS SARJAPURA),,Need direct bus from banashankari to sarjapur. Currently I need to take 2 buses,,16-Jan-16
Increase Frequency,323F,Bengaluru,,,,Please increase the number of buses in this route.,,08-Feb-16
New Route,,Bengaluru,Nayandahalli Cross (towards KATHRIGUPPE),Dalmia (towards JP NAGARA 5TH PHASE),,"This is one route for Mysuru people find it hard to find buses to. There is no direct bus either from Nayandahalli or Satellite. 

Soon after getting off at Nayandahalli bus, we have to take a bus only till Banashankari and from there, very few buses go to JP Nagara 5th phase. 

We will be carrying luggage after our travel from Mysuru and it will be difficult to catch transit buses. 

A direct bus will help us through the outer ring road for the entire stretch till Bannerghatta road. 

- Suhas",,17-Jan-16
Other,,Bengaluru,,,,Please increase the frequency of buses direct buses from Hebbal to ITPL & same from Hebbal to ITPL. That mainly on Morning timings from 6 to 10 AM and evening timings from 4 to 9PM. ,,18-Jan-16
New Route,,Bengaluru,Wipro Park Koramangala (towards KORAMANGALA 1ST BLOCK),Eco Space (towards MARATHAHALLI),,Morning and evening,??? ??????? ??? ????? ????????? ???? ?????????????????.,18-Jan-16
Other,,Bengaluru,,,,"Request you to please provide Metro feeder service from Baiyappanahalli metro station. Many people travel from the metro station towards Tin Factory / Marathalli ORR. Feeder service in the evening from EMC2 campus to Bayappanahalli metro would be useful. As of now for people who travel by metro, there is no direct bus service from Marathalli ORR to Bayappanahalli metro station. ",,18-Jan-16
New Route,,Bengaluru,Roopena Agrahara (towards Electronic City),Ele B Stn (towards null),,"Please re route this bus [Roopena agrahara to Electronic City over flyover] 356CW via Phase2  and then Phase1. Currently passengers who want to go to Phase 2 [techmahindra, TCS] do not have any option as there are no buses to Phase 2.

Right now this bus  directly goes to phase 1",,17-Nov-15
Increase Frequency,411J,Bengaluru,,,,"Increase the frequency of 411J route i have to travel from Gottigere to Dell Bridge everyday and there are no direct bus at 7.30 A.M or 8.00 A.M. 

I have to always change 2 buses from Gottigere to BTM and then take another bus to Dell Bridge


Please increase the frequency of the bus",,19-May-16
Increase Frequency,271A,Bengaluru,,,,pls provide some bus after 10:20pm from majestic to abbigere,,18-Jan-16
New Route,,Bengaluru,St John Hospital (towards TOWARDS MADIWALA),Maratahalli Bridge (towards TOWARDS HAL),,form forum mall to maratahahalli,,18-Jan-16
New Route,,Bengaluru,Jambu Savari Dinne (towards \N),Cunningham Road (towards TOWARDS MEKHRI CIRCLE),,"Need buses which can skip Jayanagar 4th Block, Shanthinagar, Shivaji NAgar. Present buses take around 25 KM route & 2 hours to reach the destination.",,18-Jan-16
New Route,,Bengaluru,Nayandahalli Cross (towards MYSORE ROAD),NAGARBHAVI CIRCLE (towards CHANDRA LAYOUT),,"Nayandahalli Metro Station 
to Nagarbhavi Circle, 
to Ambedkar Engineering College, 
to Kengeri Satellite Town
to Summanahalli Cross,
to Sunkatakatte
to Mudlapalya Circle
to BSK Bus Stand
for every 10 minutes is a must",,20-May-16
Increase Frequency,600KB,Bengaluru,,,,"Dear BMTC,


Requesting you to please provide more bus from jantha Bazar to Electronicity wipro gate Note:- via Nice Road Bus No:- NICE 3 

We are working in wipro due to transportation cancelled by our company there is huge demand for Bmtc buses and daily we struggling to travel from home to office and office home 

Requesting your support for NICE 3 buses on morning 7:30 -7 :45 amand evening 5:30 to 5:15 pm",,18-Jan-16
New Route,,Bengaluru,Nayandahalli (towards TOWARDS SHIRKE),Kengeri Satalite Town Society (towards TOWARDS SHIRKE),,"Please run Nayandahalli Metro Station to Kengeri Satellite Town enroute Nagarbhavi Circle, Amebedkar Engineering College every 10 minutes",,20-May-16
Other,,Bengaluru,,,,Please increase the frequency of Route No.KIAS-7A which will help ful for the commuters from yelahanka to MG Road especially in the morning and evening.,,19-Jan-16
Other,,Bengaluru,,,,"Dear BMTC,

Please increase number of buses around 6:00 to 6:30 AM from Hebbal to ITPL via Tin Factory,Hebbal to Hope Farm via Tin Factory as there are very few buses in morning under this route.

Thanks,
Roopa",,21-Jan-16
New Route,,Bengaluru,Ramesh nagara (towards BASAVANAGARA),Kadugodi Bapuji circle  (towards LAST BUS STOP),,"There are no direct buses from Bassavanagr to ITPL/Whitefield/Kadugodi, so many people are travel everyday from here to above mentioned stop, Please try to provide some bus service on this route",????????? ??????????? ??? ???? ????? ????????? ???? ?????????????????.,20-Jan-16
New Route,,Bengaluru,Kundalahalli Gate (towards TOWARDS MARATHAHALLI),Koramangala (towards null),,"There are no direct buses from Marathahalli, Kundalahalli gate, ITPL towards Koramangala, requires change of buses at either Domlur or Agara",??? ?????? ?????? ?????????? ?????????.,20-Jan-16
New Route,,Bengaluru,Sarjapura Cross (towards MARATHAHALLI),White Field Post Office (towards IMMADIHALLI),,There is no direct bus from sarjapura cross to whitefields . Please look into it. would make travel a lot more easier,"??????????? 12???-5 ????? 12 ????????????, ????? ?????? ?????????????.",17-Jan-16
New Route,,Bengaluru,Kundalahalli Gate (towards TOWARDS MARATHAHALLI),RAGHAVENDRA HOTEL (towards ESTEEM MALL),,"Please provide services from ITPL area to Esteem mall for connecting with Airport Buses. There are requests given for increasing buses in Yelahanka to ITPL route, requesting to provide these services extended till Esteem mall so that it can cater to both Airport service as well can be used by normal pass holders. ",,20-Jan-16
New Route,,Bengaluru,Kembathahalli (towards GOTTIGERE),Southend Circle (towards GANDHIBAZAAR),,It is difficult to reach jambu savari dinne to catch a bus at early morning. Classes starts at 7.00 am. A bus from pilaganahalli through gottigere to southend circle and vice versa at 1.30 pm will be of help and vice ,,21-Jan-16
Increase Frequency,60B,Bengaluru,,,,The route number mentioned above is wrong. I want to mention for K3 route number and it is not available in the dropdown. Please increase the frequence of bus number K3 and 60 series from koromangala (forum) to jayanagar 4th block and vice versa as we are facing too much difficulty waiting for bus. Sometime we have to wait for more than an hour for this bus.,,21-Jan-16
New Route,,Bengaluru,Byappanahalli rly gate (towards \N),Silk Board Attibele Road (towards 356W LAST POINT),,please provide connectivity in this route as it will be helpfull for many people working IT parks in entire stretch between marathalli to silkboard,,20-May-16
Other,,Bengaluru,,,,"Hello, 

I totally appreciate the service provided by the BMTC . I had a request for Route MBS8 which is a very long route journey. Kindly increase the frequency of this bus or else implement volve service on this route. This will help the Koramangala people to directly go to Kalyannagar. Otherwise people from Koramanagala have to come all the way down to silk board and catch the 500 series in order to come to Hebbal. 

Thank you, 
Prajakta",,21-Jan-16
New Route,,Bengaluru,Alammana Palya (towards THAVAREKERE & HUNNIGERE ROAD),Majestic (towards Super Talkies),,Need bus My area no buses in majestic people pacing so many problems in that area Auto Collecting so many price in PEOPLE PLS PROVIDE ONE NEW BUS PLS HELP THE PEOPLE IN THUS AREA,,22-Jan-16
New Route,,Bengaluru,Police Station Ramamurthinagar (towards BANASAWADI),Baiyappanahalli Satellite Bus Station (towards Last Stop),,"Mini bus to metro station 
Every 7minutes during Peak hour
Every 15mins during Non-Peak.

Time Based Departure from R M Nagar police station
Via Ring road signal and Kasturi nagar",,13-Jun-16
New Route,,Bengaluru,AGS Layout Cross (towards ITTAMADU),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,????? ????? ???? ????????????? ??????? 8.30???? ????? ?????? ?????. ???? ? ????? ?????????? ?????????????. ?????? ????????????? ?????? ??????. ???????? ????? ???????? 8.30 ??????????? ?????? ????? ???????????????...,,22-Jan-16
Other,,Bengaluru,,,,"Need more bus frequency from Mysore road towards townhall.
Most of the majestic buses from Mysore road goes via binny mill/good shed road. There are very few buses from Mysore road towards town Hall. Few of then are G6, MF 10, 150, k4,. Please increase the frequency of this bus. These buses are always crowded.",,22-Jan-16
Other,,Bengaluru,,,,"please start night service of volvo buses to airport.
It will be very beneficial for the people who have flights in the early morning.",,08-Jan-16
New Route,,Bengaluru,Majestic (towards Super Talkies),Electronic City 2nd Phase (towards Last Stop),,"Pls provide buses from majestic to inside elec. City
phase 2 especially in the morning and evening times.",,23-Jan-16
New Route,,Bengaluru,Hebbala Bridge (towards TIN FACTORY KR PURAM),"Attibele (towards 325H END,LAST STOP)",,Should have a many Volvo buses going on hebbal to attibele via silk board and return. It is difficult to change the bus to go from Silk board to roopena agahara and then catch another bus.,,20-May-16
New Route,,Bengaluru,Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),Devarabisanahalli (towards MARATHAHALLI),,"BMTC Route no. 330E
Hi,

The above route bus plying between Shivajinagar Bus Stand to Devarabisanahalli, RMZ ecospace starts at 7:15 AM at Shivajinagar and reaches RMZ ecospace at 8:00 AM.  It again starts from Devarabisanahalli at 5:15 PM in the evening, and reaches Shivajinagar Bus Stand at 6:30 PM. This route bus is plying since quite some time and we are the regular commuters (More than 100 commuters, mostly ladies).
                Recently we came to know that this route has been totally terminated. On behalf of the several commuters we strongly oppose this route termination as this is the only bus plying in this route. This has  caused a lot of inconvenience to all of us as we have no other direct bus and we now have to change 2 to 3 buses in order to reach the destination. Kindly request you to restart this route with the same timings without any further delay. For your info many of us reach Shivajinagar Bus Stand from all surrounding areas with the connecting buses in order to catch this bus. Also, majority of us are monthly pass holders.",,25-Jan-16
